X,Y,Z
1671789356981812,0,8340
-2.547359999999999847e+00,2.126215999999999884e+00,-2.835280000000000022e-01
-3.207624000000000031e+00,2.806487999999999872e+00,9.803919999999999302e-01
-3.442839999999999900e+00,3.372567999999999788e+00,-4.767759999999999776e-01
-4.436895999999999951e+00,4.833639999999999937e+00,-6.256159999999999499e-01
-3.830311999999999717e+00,4.278783999999999921e+00,-1.608935999999999922e+00
-3.406239999999999934e+00,4.661375999999999742e+00,-3.420880000000000032e-01
-3.026088000000000111e+00,4.902447999999999695e+00,7.222399999999999654e-02
-2.314583999999999975e+00,6.297151999999999639e+00,7.881199999999999317e-01
-1.901248000000000049e+00,5.623712000000000266e+00,3.703919999999999990e-01
-9.628240000000000132e-01,5.553927999999999976e+00,-1.230248000000000008e+00
-1.603080000000000060e+00,6.043879999999999697e+00,-1.183888000000000051e+00
-1.905640000000000001e+00,6.529440000000000133e+00,-4.889759999999999662e-01
-1.944191999999999920e+00,6.920327999999999591e+00,-4.533519999999999772e-01
-7.324880000000000280e-01,6.395728000000000080e+00,8.823039999999999772e-01
1.776319999999999844e-01,6.049247999999999514e+00,3.938159999999999994e-01
9.223199999999999454e-02,6.099024000000000001e+00,-7.422480000000000189e-01
8.100799999999999668e-02,6.257136000000000031e+00,5.431439999999999602e-01
-8.588799999999999213e-02,6.588487999999999900e+00,-5.880400000000000071e-01
4.738479999999999914e-01,5.855512000000000050e+00,-6.675839999999999552e-01
1.096047999999999911e+00,5.333839999999999471e+00,-3.630720000000000058e-01
1.851472000000000007e+00,5.266496000000000066e+00,4.499360000000000026e-01
2.254071999999999854e+00,5.145959999999999646e+00,1.654319999999999957e-01
2.533695999999999948e+00,4.789719999999999978e+00,2.113039999999999918e-01
2.400959999999999983e+00,4.584760000000000169e+00,-1.771439999999999959e-01
2.760615999999999737e+00,4.351983999999999853e+00,-1.424959999999999838e-01
2.766960000000000086e+00,4.432991999999999599e+00,3.767360000000000153e-01
3.425759999999999916e+00,3.959143999999999775e+00,-6.783200000000000340e-02
3.379399999999999959e+00,3.422343999999999831e+00,1.332240000000000091e-01
3.541903999999999719e+00,2.969479999999999897e+00,2.810880000000000045e-01
4.055279999999999774e+00,2.423407999999999785e+00,-1.024800000000000016e-01
4.536935999999999858e+00,2.148664000000000129e+00,1.268799999999999928e-01
4.325143999999999878e+00,2.233087999999999962e+00,2.371679999999999899e-01
3.829823999999999895e+00,2.097424000000000177e+00,-1.073599999999999902e-02
3.941087999999999703e+00,1.745576000000000016e+00,-4.099200000000000066e-02
4.319288000000000238e+00,1.322479999999999878e+00,9.857599999999999696e-02
4.405175999999999981e+00,1.122887999999999886e+00,2.488800000000000040e-02
4.076264000000000109e+00,1.012111999999999901e+00,2.117920000000000080e-01
4.229008000000000322e+00,6.534320000000000128e-01,2.888959999999999861e-01
4.320751999999999704e+00,2.791359999999999952e-01,4.084559999999999858e-01
4.152879999999999683e+00,9.174399999999999222e-02,1.044319999999999971e-01
3.920592000000000077e+00,-5.611999999999999628e-02,-4.099200000000000066e-02
3.776631999999999767e+00,-3.811279999999999668e-01,5.319199999999999623e-02
3.733200000000000074e+00,-9.223200000000000287e-01,3.777119999999999922e-01
4.293423999999999907e+00,-1.742159999999999931e+00,7.071119999999999628e-01
3.598511999999999933e+00,-2.797216000000000147e+00,1.830487999999999893e+00
3.308151999999999759e+00,-3.083671999999999969e+00,-1.145335999999999910e+00
1.766559999999999908e+00,-2.148664000000000129e+00,-1.805599999999999872e+00
3.185664000000000051e+00,-3.116855999999999849e+00,-1.720199999999999951e+00
2.372167999999999832e+00,-3.066591999999999985e+00,4.426160000000000094e-01
2.557608000000000104e+00,-2.971432000000000073e+00,1.050175999999999998e+00
2.597135999999999889e+00,-2.865047999999999817e+00,8.823039999999999772e-01
1.697263999999999884e+00,-2.532719999999999860e+00,4.089439999999999742e-01
1.476199999999999957e+00,-2.521008000000000138e+00,8.881599999999999218e-02
7.847039999999999571e-01,-3.425759999999999916e+00,8.442399999999999904e-01
1.508896000000000015e+00,-3.777120000000000033e+00,-3.962559999999999971e-01
3.684399999999999897e-01,-3.722951999999999817e+00,-7.734799999999999454e-01
-2.991440000000000210e-01,-3.233487999999999918e+00,1.590880000000000072e-01
-4.636000000000000121e-01,-3.015839999999999854e+00,-3.635599999999999943e-01
-6.739279999999999715e-01,-3.150039999999999729e+00,-5.529039999999999511e-01
-6.392799999999999594e-01,-3.319376000000000104e+00,1.947119999999999962e-01
-1.561599999999999877e+00,-2.825520000000000032e+00,7.642079999999999984e-01
-1.442528000000000032e+00,-2.367287999999999837e+00,-5.538800000000000390e-01
-1.609912000000000010e+00,-2.711815999999999782e+00,-1.566480000000000095e-01
-1.839760000000000062e+00,-2.745487999999999928e+00,4.411519999999999886e-01
-2.407792000000000154e+00,-2.227231999999999879e+00,4.635999999999999843e-02
-2.380463999999999913e+00,-2.236991999999999869e+00,-6.973519999999999719e-01
-2.815271999999999775e+00,-1.967127999999999988e+00,-1.185839999999999950e-01
-3.176880000000000148e+00,-1.861231999999999998e+00,-3.581920000000000104e-01
-3.059759999999999813e+00,-1.532807999999999948e+00,8.051999999999999436e-02
-3.160775999999999808e+00,-1.138992000000000004e+00,8.008079999999999643e-01
-3.237391999999999825e+00,-9.735599999999999810e-01,-4.001599999999999602e-02
-3.122711999999999932e+00,-7.378559999999999564e-01,-7.056479999999999420e-01
-3.490175999999999945e+00,-7.417599999999999749e-01,-1.991040000000000032e-01
-3.820063999999999904e+00,-6.988159999999999927e-01,1.219999999999999904e-02
-3.662927999999999962e+00,-4.748239999999999683e-01,-8.295999999999999208e-02
-3.716607999999999912e+00,7.954400000000000359e-02,-6.514799999999999480e-01
-4.435431999999999597e+00,1.654319999999999957e-01,-8.086160000000000014e-01
-4.311479999999999535e+00,3.606320000000000081e-01,-8.012960000000000083e-01
-3.807376000000000094e+00,9.852719999999999256e-01,2.474159999999999970e-01
-3.578504000000000129e+00,1.118983999999999979e+00,-6.929599999999999649e-02
-2.546872000000000025e+00,1.659688000000000052e+00,2.778183999999999987e+00
-2.573223999999999734e+00,9.276879999999999571e-01,1.390800000000000092e-01
-2.328247999999999873e+00,1.223903999999999881e+00,-2.229184000000000054e+00
-1.712879999999999958e+00,2.013975999999999988e+00,-4.518880000000000119e-01
-2.906527999999999778e+00,2.406816000000000066e+00,1.027727999999999975e+00
-2.437559999999999949e+00,3.103679999999999772e+00,-2.074000000000000010e-01
-3.650727999999999973e+00,3.684400000000000119e+00,4.538400000000000073e-02
-3.114904000000000117e+00,4.124087999999999532e+00,-7.539599999999999635e-01
-3.233000000000000096e+00,3.647311999999999887e+00,-9.818559999999999510e-01
-3.247640000000000082e+00,4.155319999999999681e+00,1.034559999999999924e-01
-2.423896000000000051e+00,4.744823999999999486e+00,-1.459119999999999862e-01
-1.593807999999999891e+00,4.950759999999999827e+00,2.991440000000000210e-01
